,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
249,0.059,0.041,0.044,0.055,0.043,0.041,0.042,0.048,0.046,0.032,0.128,0.038,0.035,0.049,0.035,0.055,0.052,0.057,0.055,0.045
250,0.054,0.043,0.054,0.05,0.041,0.048,0.04,0.048,0.055,0.045,0.116,0.039,0.045,0.044,0.042,0.039,0.043,0.044,0.047,0.063
251,0.049,0.056,0.039,0.057,0.05,0.033,0.042,0.032,0.039,0.04,0.122,0.047,0.045,0.045,0.052,0.061,0.049,0.052,0.043,0.047
252,0.049,0.034,0.055,0.053,0.034,0.048,0.06,0.044,0.049,0.036,0.105,0.031,0.051,0.053,0.035,0.039,0.046,0.066,0.059,0.053
253,0.043,0.049,0.045,0.056,0.037,0.04,0.045,0.053,0.044,0.039,0.095,0.049,0.049,0.046,0.062,0.051,0.05,0.045,0.046,0.056
254,0.066,0.037,0.057,0.047,0.046,0.044,0.042,0.048,0.043,0.041,0.128,0.037,0.039,0.043,0.052,0.041,0.046,0.051,0.046,0.046
255,0.056,0.051,0.051,0.061,0.038,0.047,0.051,0.043,0.042,0.041,0.09,0.047,0.047,0.05,0.041,0.047,0.048,0.051,0.052,0.046
256,0.057,0.043,0.054,0.058,0.053,0.038,0.039,0.05,0.047,0.032,0.111,0.045,0.052,0.05,0.047,0.039,0.044,0.044,0.046,0.051
257,0.051,0.048,0.053,0.062,0.04,0.045,0.047,0.038,0.038,0.049,0.094,0.043,0.043,0.049,0.047,0.037,0.043,0.059,0.061,0.053
258,0.07,0.036,0.058,0.055,0.035,0.038,0.043,0.047,0.042,0.041,0.108,0.053,0.055,0.038,0.049,0.038,0.042,0.048,0.051,0.053
259,0.059,0.066,0.062,0.059,0.035,0.04,0.051,0.032,0.043,0.044,0.118,0.042,0.047,0.036,0.051,0.039,0.045,0.04,0.045,0.046
