,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
8929,0.051,0.047,0.052,0.061,0.04,0.043,0.04,0.04,0.043,0.035,0.129,0.038,0.047,0.057,0.046,0.038,0.042,0.046,0.041,0.064
8930,0.064,0.049,0.045,0.038,0.046,0.038,0.054,0.035,0.048,0.045,0.108,0.041,0.041,0.037,0.043,0.053,0.052,0.06,0.052,0.051
8931,0.061,0.048,0.053,0.04,0.057,0.038,0.051,0.047,0.033,0.052,0.09,0.041,0.036,0.039,0.048,0.052,0.047,0.05,0.058,0.059
8932,0.045,0.042,0.044,0.044,0.071,0.039,0.036,0.044,0.053,0.042,0.108,0.04,0.063,0.043,0.038,0.058,0.044,0.047,0.048,0.051
8933,0.048,0.047,0.044,0.038,0.045,0.049,0.04,0.047,0.045,0.051,0.1,0.051,0.041,0.055,0.053,0.039,0.048,0.043,0.06,0.056
8934,0.048,0.049,0.046,0.051,0.034,0.046,0.061,0.033,0.046,0.058,0.098,0.05,0.04,0.05,0.046,0.038,0.055,0.053,0.05,0.048
8935,0.055,0.038,0.042,0.041,0.05,0.041,0.039,0.034,0.048,0.042,0.109,0.05,0.05,0.052,0.051,0.043,0.052,0.058,0.056,0.049
8936,0.047,0.059,0.039,0.041,0.049,0.054,0.037,0.045,0.039,0.044,0.111,0.041,0.047,0.047,0.045,0.051,0.053,0.049,0.047,0.055
8937,0.051,0.057,0.046,0.046,0.044,0.035,0.041,0.04,0.052,0.038,0.1,0.051,0.051,0.049,0.05,0.042,0.045,0.052,0.055,0.055
8938,0.066,0.059,0.039,0.048,0.05,0.043,0.045,0.046,0.043,0.043,0.096,0.041,0.043,0.042,0.057,0.04,0.041,0.047,0.049,0.062
8939,0.06,0.049,0.043,0.044,0.039,0.04,0.042,0.044,0.052,0.045,0.104,0.039,0.054,0.046,0.06,0.037,0.054,0.037,0.056,0.055
8940,0.055,0.046,0.05,0.062,0.047,0.046,0.038,0.035,0.048,0.045,0.117,0.044,0.047,0.05,0.05,0.031,0.043,0.051,0.047,0.048
8941,0.043,0.055,0.042,0.039,0.051,0.046,0.038,0.037,0.052,0.031,0.131,0.048,0.043,0.053,0.054,0.047,0.037,0.046,0.057,0.05
8942,0.062,0.053,0.044,0.061,0.034,0.043,0.041,0.048,0.051,0.043,0.117,0.033,0.049,0.045,0.04,0.046,0.037,0.042,0.059,0.052
8943,0.045,0.049,0.051,0.049,0.049,0.051,0.048,0.055,0.046,0.039,0.101,0.046,0.054,0.046,0.038,0.046,0.041,0.053,0.046,0.047
8944,0.047,0.038,0.051,0.047,0.033,0.053,0.037,0.045,0.048,0.037,0.113,0.048,0.049,0.045,0.06,0.044,0.046,0.049,0.053,0.057
8945,0.059,0.044,0.049,0.057,0.037,0.035,0.042,0.046,0.041,0.038,0.103,0.04,0.037,0.051,0.041,0.055,0.047,0.056,0.066,0.056
8946,0.043,0.04,0.052,0.055,0.037,0.037,0.045,0.035,0.033,0.058,0.11,0.052,0.067,0.05,0.045,0.041,0.053,0.05,0.053,0.044
8947,0.052,0.042,0.051,0.04,0.045,0.042,0.047,0.044,0.048,0.037,0.115,0.042,0.053,0.043,0.054,0.046,0.043,0.046,0.055,0.055
8948,0.048,0.051,0.051,0.049,0.047,0.04,0.042,0.04,0.04,0.04,0.122,0.041,0.062,0.045,0.032,0.045,0.048,0.061,0.049,0.047
8949,0.045,0.043,0.047,0.048,0.048,0.039,0.048,0.043,0.043,0.044,0.111,0.044,0.044,0.039,0.044,0.052,0.052,0.046,0.058,0.062
8950,0.058,0.044,0.055,0.066,0.045,0.04,0.05,0.047,0.042,0.038,0.092,0.042,0.047,0.045,0.039,0.054,0.049,0.055,0.047,0.045
8951,0.055,0.049,0.052,0.041,0.052,0.036,0.055,0.045,0.043,0.035,0.122,0.039,0.046,0.044,0.057,0.05,0.05,0.037,0.05,0.042
8952,0.059,0.04,0.046,0.047,0.042,0.039,0.035,0.042,0.038,0.047,0.122,0.042,0.043,0.06,0.036,0.053,0.041,0.039,0.059,0.07
8953,0.058,0.06,0.054,0.044,0.038,0.054,0.043,0.037,0.05,0.04,0.102,0.031,0.039,0.039,0.049,0.036,0.048,0.054,0.068,0.056
8954,0.049,0.064,0.041,0.047,0.039,0.04,0.049,0.059,0.049,0.035,0.111,0.041,0.05,0.05,0.042,0.045,0.047,0.037,0.052,0.053
8955,0.062,0.053,0.048,0.059,0.038,0.052,0.031,0.032,0.042,0.034,0.093,0.054,0.052,0.049,0.046,0.055,0.04,0.059,0.05,0.051
8956,0.052,0.054,0.046,0.042,0.04,0.039,0.049,0.04,0.043,0.041,0.108,0.037,0.046,0.055,0.052,0.045,0.045,0.061,0.057,0.048
8957,0.052,0.049,0.052,0.051,0.039,0.044,0.055,0.048,0.045,0.035,0.119,0.038,0.034,0.051,0.053,0.054,0.033,0.048,0.049,0.051
8958,0.056,0.049,0.059,0.045,0.04,0.047,0.031,0.051,0.049,0.04,0.114,0.03,0.054,0.046,0.04,0.045,0.048,0.054,0.044,0.058
